Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FANS,PLAYERS,MEDIA,SCORE
George Hill,PG,34,OKC,14,14,26.4,4.4,8.6,0.508,1.6,4.1,0.386,2.8,4.5,0.619,0.6,1.5,1.8,0.84,0.6,1.5,2.1,3.1,0.9,0.1,0.9,0.9,11.8,3403,1,0,72.2
Solomon Hill,PF,29,ATL,28,1,19,1.5,4.3,0.358,1,3.2,0.322,0.5,1.1,0.467,0.479,0.3,0.4,0.8,0.4,1.9,2.3,0.9,0.6,0.2,0.5,1.6,4.4,928,1,0,103.2
Aaron Holiday,PG,24,IND,29,6,19.9,2.8,7.6,0.37,1.1,3.2,0.333,1.7,4.3,0.397,0.441,0.8,1,0.759,0.2,1.1,1.3,1.8,0.5,0.1,0.8,1.7,7.4,919,0,0,127.2
Jrue Holiday,PG,30,MIL,23,23,32.5,6.5,13,0.502,1.9,4.8,0.387,4.7,8.2,0.569,0.574,1.5,1.9,0.791,1.3,3.5,4.8,5.4,1.9,0.6,1.6,1.7,16.4,91969,23,0,46.2
Justin Holiday,SG,31,IND,29,20,32.2,4,8.5,0.466,2.4,5.8,0.419,1.6,2.8,0.563,0.607,1.2,1.5,0.791,0.7,3.5,4.2,1.7,1.2,0.3,0.7,2.3,11.5,4183,3,0,66
Richaun Holmes,C,27,SAC,25,25,29.6,5.4,8.4,0.648,0,0.2,0.2,5.4,8.2,0.659,0.65,1.8,2.3,0.793,2.5,5.2,7.7,1.8,0.7,1.6,1.5,4.1,12.8,20205,4,0,64
Rodney Hood,SF,28,POR,23,5,19,2.1,5.7,0.366,0.6,2,0.298,1.5,3.7,0.405,0.42,0.2,0.3,0.667,0.2,1.5,1.7,1.2,0.7,0.1,0.8,1.4,5,575,2,0,86.8
Al Horford,C,34,OKC,19,19,28.2,5.9,13,0.453,2.2,5.5,0.39,3.7,7.5,0.5,0.536,0.7,0.9,0.778,0.8,6.1,6.9,3.6,0.9,0.8,1.3,1.7,14.7,53546,12,0,54.2
Talen Horton-Tucker,SG,20,LAL,25,0,16.5,2.7,6,0.447,0.5,1.7,0.279,2.2,4.3,0.514,0.487,0.9,1.1,0.821,0.4,2,2.4,1.8,0.8,0.5,1.2,1.9,6.8,62873,1,0,51.8
Danuel House,SF,27,HOU,17,7,27.9,3.1,8.2,0.374,1.4,4.9,0.286,1.6,3.2,0.509,0.46,1.4,1.8,0.767,0.6,3.1,3.6,2.1,0.8,0.5,0.9,1.8,8.9,4235,1,0,87.5
Dwight Howard,C,35,PHI,29,4,16.7,2.1,3.8,0.555,0.1,0.3,0.375,2,3.5,0.569,0.568,1.6,3,0.523,2.7,5,7.7,0.7,0.4,0.9,1.9,3.1,5.9,142606,7,0,46.2
Kevin Huerter,SG,22,ATL,28,17,31.8,4.5,10.7,0.423,2.2,5.8,0.385,2.3,5,0.468,0.527,0.7,0.9,0.792,0.7,2.9,3.6,3.8,1.2,0.2,1.3,2.3,12,7176,1,0,64.8
De'Andre Hunter,SF,23,ATL,18,18,32.2,6,11.7,0.514,1.7,4.6,0.366,4.3,7.1,0.609,0.586,3.6,4.1,0.877,0.9,4.5,5.4,2.2,0.9,0.5,1.4,2.6,17.2,46234,2,0,59.2
Serge Ibaka,C,31,LAC,29,29,24.2,4.8,9.2,0.515,1,2.7,0.377,3.8,6.6,0.571,0.569,1.2,1.5,0.818,1.9,4.8,6.7,1.7,0.2,1.2,1.3,1.9,11.8,63096,5,0,55
Andre Iguodala,SF,37,MIA,26,2,21.2,1.6,4.3,0.369,1,3.3,0.318,0.5,1,0.538,0.491,0.2,0.4,0.455,0.5,3.1,3.6,2.3,1,0.5,1,1.5,4.4,42195,1,0,64.8
Joe Ingles,SF,33,UTA,25,8,26.6,4.1,7.9,0.518,2.4,5.3,0.451,1.7,2.6,0.656,0.67,1.2,1.4,0.882,0.4,3,3.5,4.7,0.4,0.2,1.6,1.7,11.8,80890,4,0,54.5
Brandon Ingram,SF,23,NOP,28,28,34.8,8.2,17.5,0.466,2.5,6.3,0.4,5.7,11.3,0.503,0.538,4.7,5.4,0.874,0.6,4.8,5.4,4.8,0.6,0.9,2.5,1.8,23.6,606826,37,0,41
Kyrie Irving,PG,28,BRK,20,20,35.4,10.7,20,0.534,3.1,6.9,0.442,7.6,13.1,0.582,0.61,3.9,4.3,0.918,0.9,3.7,4.6,5.7,1.1,0.8,2.4,3,28.3,2765320,100,21,2.5
Wesley Iwundu,SF,26,DAL,17,3,13.6,0.8,2.7,0.283,0.2,1.4,0.13,0.6,1.4,0.435,0.315,0.5,0.6,0.8,0.3,1.6,1.9,0.5,0.4,0.1,0.2,1.2,2.2,658,0,0,152
Josh Jackson,SG,23,DET,26,6,24.1,4.5,10.5,0.427,1.4,4.4,0.322,3.1,6.1,0.503,0.495,2.3,3.4,0.685,0.7,3.3,4,1.9,1,0.9,2.4,3,12.8,4759,1,0,81.8
Justin Jackson,SF,25,OKC,18,2,18,2.9,6.4,0.457,1.2,3.3,0.356,1.8,3.2,0.561,0.547,0.8,1,0.778,0.4,1.9,2.4,1.8,0.4,0.1,1,1.2,7.8,1372,0,0,140.5
Reggie Jackson,SG,30,LAC,27,14,20.8,3.1,7.4,0.427,1.2,3.4,0.348,2,4,0.495,0.508,1.1,1.4,0.744,0.3,2.4,2.7,3.3,0.7,0.1,1,1.9,8.6,6806,1,0,62.8
LeBron James,PG,36,LAL,29,29,34.7,9.4,18.8,0.504,2.5,6.7,0.378,6.9,12.1,0.573,0.571,4.2,6,0.711,0.6,7.6,8.2,7.9,1,0.5,3.7,1.6,25.7,5922554,214,100,1
Isaiah Joe,SG,21,PHI,16,1,13.3,1.7,4.4,0.38,1.3,3.5,0.375,0.4,0.9,0.4,0.528,0.3,0.3,1,0.3,0.9,1.2,0.9,0.4,0.3,0.3,1.3,5,715,0,0,132.2
Cameron Johnson,PF,24,PHO,27,9,25.4,3.8,8.6,0.438,2.2,5.9,0.369,1.6,2.7,0.589,0.564,1,1.1,0.871,0.6,3,3.6,1.5,0.6,0.3,0.8,1.3,10.7,20797,1,0,71.5
James Johnson,PF,33,DAL,23,0,18.4,2.6,5.3,0.488,0.6,2.2,0.28,2,3.2,0.63,0.545,0.6,1,0.542,0.5,2.6,3.1,1.6,0.9,0.8,1.1,2.1,6.4,3275,1,0,90.5
Keldon Johnson,SF,21,SAS,27,27,30.1,5.3,11.4,0.468,1,3,0.325,4.4,8.4,0.518,0.51,2.9,3.7,0.778,1.7,5.2,7,2.3,0.8,0.5,1.5,2.3,14.5,15926,1,0,58.2
Stanley Johnson,PF,24,TOR,25,1,14.7,1,2.5,0.403,0.6,1.5,0.405,0.4,1,0.4,0.524,0.4,0.6,0.786,0.6,2,2.5,1.4,0.8,0.3,0.7,1.7,3,2733,0,0,129.5
Tyler Johnson,SG,28,BRK,13,1,12.2,1.6,3.6,0.447,1.2,2.5,0.469,0.5,1.2,0.4,0.606,0.2,0.2,1,0.2,1,1.2,0.8,0.3,0,0.3,0.6,4.5,560,0,0,137.2
Nikola Jokić,C,25,DEN,28,28,35.9,10.5,18.4,0.57,1.5,3.8,0.402,9,14.6,0.614,0.611,4.8,5.5,0.871,3,8.2,11.1,8.6,1.6,0.6,3.4,3.1,27.4,4208879,167,99,2
Derrick Jones Jr.,SF,23,POR,24,23,27.1,2.8,6,0.476,0.7,2.6,0.274,2.1,3.4,0.63,0.535,1.3,2,0.612,1.8,2.9,4.7,0.7,0.8,0.9,0.7,2.6,7.6,11147,2,0,75
Mason Jones,SG,22,HOU,18,1,11.2,1.8,4,0.458,0.9,2.3,0.415,0.9,1.7,0.516,0.576,0.9,1.7,0.548,0.2,1.8,2,1.3,0.3,0,1.2,1,5.6,895,0,0,119
Tyus Jones,PG,24,MEM,24,8,23.5,3.3,8,0.406,0.7,2.8,0.25,2.5,5.2,0.492,0.451,0.5,0.6,0.8,0.6,2.1,2.8,5.3,1.3,0.1,1,0.5,7.7,1187,2,0,76.2
DeAndre Jordan,C,32,BRK,28,22,21.6,3.2,4,0.788,0,0,0,3.2,4,0.788,0.788,0.8,1.5,0.548,1.8,5.3,7,1.9,0.3,1.4,1.7,2.1,7.2,58347,5,0,53.5
Cory Joseph,PG,29,SAC,27,1,19.8,2.7,5.7,0.471,0.7,2,0.327,2,3.7,0.55,0.529,0.7,1,0.741,0.4,1.7,2.1,2.4,0.8,0.2,1.1,2.2,6.8,1651,0,0,110
Frank Kaminsky,C,27,PHO,20,6,15.8,2.6,5.8,0.452,0.8,2,0.385,1.9,3.8,0.487,0.517,0.7,1.2,0.609,1,3.5,4.5,2,0.2,0.5,0.5,1.6,6.7,3196,2,0,87.5
Enes Kanter,C,28,POR,28,16,25.1,4.9,8.4,0.581,0,0,0,4.9,8.4,0.581,0.581,1.8,2.3,0.754,4.1,7,11.1,1.1,0.5,0.8,1.2,2.5,11.5,60993,5,0,55.5
Luke Kennard,SG,24,LAC,29,7,22,3,6.5,0.463,1.6,3.6,0.442,1.4,2.9,0.488,0.585,0.4,0.5,0.867,0.3,2.6,2.9,1.8,0.3,0.2,0.9,1.6,8,4166,2,0,66.2
Maxi Kleber,PF,29,DAL,17,11,25.6,2.2,5.1,0.43,1.7,3.8,0.453,0.5,1.3,0.364,0.599,1,1.1,0.944,0.9,4.4,5.4,1.5,0.4,0.8,0.6,2.4,7.1,17698,6,0,62.5
Kevin Knox,SF,21,NYK,23,0,16.2,1.9,4.9,0.389,1.1,2.9,0.379,0.8,2,0.404,0.5,0.4,0.5,0.833,0.4,1.7,2.1,0.7,0.3,0.3,0.7,1.4,5.3,7534,0,0,115
John Konchar,SG,24,MEM,16,0,16.5,1.5,3.5,0.429,0.4,1.4,0.318,1.1,2.1,0.5,0.491,0.9,1,0.938,1,2.8,3.8,1.1,1.1,0.3,0.5,1.4,4.4,951,0,0,118
Furkan Korkmaz,SG,23,PHI,18,1,19.5,2.7,7.2,0.377,1.3,4.2,0.32,1.4,3.1,0.455,0.469,0.8,0.9,0.875,0.2,2.3,2.6,0.8,0.7,0.1,0.9,1.1,7.6,8116,0,0,102.2
Kyle Kuzma,SF,25,LAL,29,7,25,4.3,9.5,0.453,1.7,4.6,0.361,2.7,4.9,0.538,0.54,0.6,0.9,0.615,1.8,4.2,6,1.1,0.3,0.7,1.3,1.6,10.8,177565,1,0,60
Jeremy Lamb,SG,28,IND,16,8,25.1,4.1,8.1,0.508,1.9,3.9,0.5,2.2,4.3,0.515,0.627,2.3,2.4,0.923,0.9,3.4,4.3,1.6,0.9,0.5,0.9,2.1,12.4,5937,4,0,62.5
Zach LaVine,SG,25,CHI,27,27,35.6,10.2,19.6,0.52,3.6,8.2,0.437,6.6,11.4,0.58,0.612,4.5,5.3,0.847,0.8,4.7,5.5,5.2,1.1,0.4,3.9,2.6,28.5,1500979,58,4,4
Jake Layman,SF,26,MIN,19,3,15.4,2.4,4.8,0.489,0.6,1.9,0.297,1.8,2.9,0.618,0.549,0.9,1.2,0.783,0.3,1.2,1.5,0.5,0.9,0.5,0.5,1.2,6.3,829,0,0,148
Damion Lee,SG,28,GSW,29,0,19.3,2.1,4.8,0.432,1.4,3.8,0.373,0.7,1,0.655,0.579,0.7,0.8,0.909,0.4,2.9,3.3,1.5,0.6,0.1,0.4,1.7,6.2,37456,2,0,50.2
Alex Len,C,27,TOT,20,6,14.6,2.4,3.8,0.627,0.3,1,0.316,2.1,2.8,0.732,0.667,1,1.7,0.588,0.8,2.8,3.5,1.1,0.4,1.1,1.2,1.9,6,1662,0,0,134.5
Kawhi Leonard,SF,29,LAC,23,23,34.4,9.7,19,0.513,1.9,4.9,0.389,7.8,14.1,0.556,0.563,5.3,6.1,0.879,0.8,5,5.9,5,1.8,0.6,1.8,1.5,26.7,3388151,107,91,3.2
Caris LeVert,SG,26,BRK,12,4,27.8,7.3,16.7,0.435,1.8,5.3,0.349,5.4,11.4,0.474,0.49,2.2,2.8,0.765,0.8,3.5,4.3,6,1.1,0.5,2.2,1.7,18.5,23739,1,0,58.2
Kira Lewis Jr.,PG,19,NOP,17,0,13.1,2.1,5.1,0.402,0.6,1.7,0.379,1.4,3.4,0.414,0.466,0.8,1.2,0.65,0.1,0.8,0.9,1.8,0.6,0.1,0.5,1,5.5,878,2,0,81.8
Damian Lillard,PG,30,POR,27,27,35.9,9.2,20.4,0.451,4.1,10.8,0.384,5.1,9.6,0.527,0.553,7.2,7.7,0.933,0.5,3.9,4.4,7.7,1.1,0.3,3.1,1.6,29.8,2848663,131,64,2.5
Nassir Little,PF,20,POR,13,2,10.8,1.7,3.1,0.55,0.8,1.4,0.611,0.8,1.7,0.5,0.688,0.6,0.7,0.889,0.8,1.2,2,0.2,0.2,0.3,0.5,0.8,4.8,1261,2,0,97.5
Kevon Looney,C,24,GSW,21,5,14.7,1.6,2.5,0.623,0.1,0.2,0.4,1.5,2.3,0.646,0.642,0.4,0.6,0.692,1.5,2.6,4.1,1.8,0.3,0.3,0.7,1.8,3.7,16483,0,0,114.5
Brook Lopez,C,32,MIL,28,28,27.1,3.9,8.5,0.46,1.6,4.6,0.359,2.3,3.9,0.578,0.557,1.3,1.6,0.841,1.5,3.6,5.1,0.6,0.5,1.3,0.8,1.9,10.8,40248,4,0,58
Robin Lopez,C,32,WAS,26,9,19.4,3.1,5.3,0.591,0.2,0.5,0.333,3,4.8,0.616,0.606,1.6,2.3,0.672,2.2,2,4.2,1,0.2,0.5,1,1.9,8,5348,3,0,73
Kyle Lowry,PG,34,TOR,25,25,34.4,6,13.2,0.452,2.8,7.1,0.388,3.2,6.1,0.526,0.556,3,3.5,0.874,0.8,4.6,5.4,6.4,1.2,0.2,2.9,3.2,17.7,356185,22,0,42.5
Timothé Luwawu-Cabarrot,SF,25,BRK,30,5,19.7,2.6,6.4,0.404,1.5,4.1,0.366,1.1,2.3,0.471,0.521,0.6,0.8,0.75,0.6,1.8,2.4,1.3,0.6,0.2,0.7,1.6,7.3,1827,1,0,79.8
Trey Lyles,PF,25,SAS,14,2,11.8,1.3,2.6,0.5,0.3,1.1,0.267,1,1.5,0.667,0.556,0.6,1.1,0.6,0.5,2.6,3.1,0.5,0,0,0,0.4,3.5,1070,0,0,145
Théo Maledon,PG,19,OKC,23,8,23.4,2.8,7,0.4,1.5,3.9,0.378,1.3,3,0.429,0.506,0.7,1,0.708,0.2,2.5,2.7,2.8,1,0,1.8,2.2,7.8,3427,1,0,71.8
Terance Mann,SG,24,LAC,27,3,15.1,1.6,3.5,0.457,0.2,0.9,0.25,1.4,2.6,0.529,0.489,0.9,1.2,0.75,0.9,2.4,3.3,1.1,0.5,0.2,0.7,1.5,4.3,1618,2,0,73.2
Lauri Markkanen,PF,23,CHI,14,14,30.4,6.8,13.2,0.514,2.9,7.2,0.396,3.9,6,0.655,0.622,2.7,3.2,0.844,0.6,5.5,6.1,0.9,0.6,0.4,1.7,2.2,19.1,86378,2,0,54.2
Caleb Martin,SF,25,CHO,23,1,15.8,2.2,5.2,0.42,0.7,2.2,0.3,1.5,3,0.507,0.483,0.6,1.1,0.56,0.8,2,2.8,1.3,0.9,0.3,0.7,1.1,5.6,525,0,0,137.8
Garrison Mathews,SG,24,WAS,20,4,16.1,1.9,4.8,0.389,1.5,3.8,0.382,0.4,1,0.421,0.542,1.9,2.1,0.902,0.4,1.1,1.5,0.5,0.9,0.2,0.2,1.6,7,896,0,0,127.8
Wesley Matthews,SG,34,LAL,22,1,20.4,1.6,4.1,0.4,1.3,3.3,0.384,0.4,0.8,0.471,0.556,0.5,0.7,0.8,0.4,1,1.4,1.1,0.5,0.4,0.4,1.5,5.1,5531,1,0,64.2
Tyrese Maxey,SG,20,PHI,28,6,16.9,3.7,8.1,0.456,0.5,1.9,0.278,3.1,6.1,0.512,0.489,0.8,0.9,0.88,0.2,1.7,1.9,1.7,0.5,0.1,0.6,1.2,8.7,3738,0,0,109.2
CJ McCollum,SG,29,POR,13,13,33.8,9.5,20,0.473,4.8,11,0.441,4.6,9,0.513,0.594,2.9,3.5,0.844,0.5,3.4,3.9,5,1.3,0.3,1,2.2,26.7,303210,11,0,38.8
T.J. McConnell,PG,28,IND,26,1,24,2.7,5.3,0.504,0.2,0.6,0.375,2.5,4.7,0.52,0.525,0.2,0.5,0.333,0.7,2.7,3.3,6.6,1.7,0.4,1.7,1.6,5.8,3559,4,0,67.5
Jaden McDaniels,PF,20,MIN,23,1,18.7,2,5.1,0.398,1,2.7,0.381,1,2.4,0.418,0.5,0.3,0.7,0.4,0.7,2.7,3.3,1,0.3,1.1,0.8,2.5,5.4,1201,0,0,143.5
Jalen McDaniels,SF,23,CHO,10,0,10.8,1.6,3.3,0.485,0.2,0.9,0.222,1.4,2.4,0.583,0.515,0.7,1.1,0.636,0.4,1.7,2.1,0.6,0.2,0,0.9,1.5,4.1,557,0,0,146.5
Doug McDermott,PF,29,IND,28,8,26.2,5.1,10.1,0.511,1.5,4.3,0.355,3.6,5.8,0.627,0.587,1.3,1.6,0.795,1,3.1,4.1,1.4,0.3,0.1,1.1,1.8,13.1,12577,8,0,64.2
JaVale McGee,C,33,CLE,20,1,15.7,3.1,6.8,0.459,0.3,0.8,0.313,2.9,6,0.479,0.478,1.3,2.2,0.591,1.7,3.9,5.6,1,0.5,1.2,1.3,2.5,7.8,45300,0,0,102
Jordan McLaughlin,PG,24,MIN,17,0,18.2,2.2,5.5,0.394,0.5,1.4,0.375,1.6,4.1,0.4,0.441,0.4,0.5,0.778,0.5,1.7,2.2,4.6,1,0.2,1.2,0.8,5.3,468,0,0,128
Ben McLemore,SG,27,HOU,20,2,15.2,2.2,5.8,0.374,1.4,4.2,0.337,0.8,1.6,0.469,0.496,0.7,0.9,0.722,0.4,1.8,2.2,1,0.6,0.1,1.1,1.3,6.4,1151,0,0,114.5
Nicolò Melli,PF,30,NOP,13,0,10.5,0.6,2.2,0.286,0.5,1.7,0.273,0.2,0.5,0.333,0.393,0.3,0.4,0.8,0.2,1.9,2.1,0.9,0.5,0.1,0.5,1.2,2,2170,0,0,135.5
De'Anthony Melton,PG,22,MEM,12,0,21.5,4,8.3,0.48,1.6,3.6,0.442,2.4,4.8,0.509,0.575,0.4,0.7,0.625,0.3,2.7,3,3.2,0.9,1,1.4,2.1,10,574,1,0,90.8
Khris Middleton,SF,29,MIL,28,28,33,7.5,14.6,0.51,2.4,5.5,0.442,5,9.1,0.551,0.593,3,3.3,0.902,0.7,5.1,5.8,5.8,1,0.1,2.5,2.8,20.3,181478,14,0,44.5
Patty Mills,PG,32,SAS,27,0,25.4,4.7,10.5,0.449,2.6,6.5,0.4,2.1,4,0.528,0.572,1.2,1.3,0.943,0.3,1.6,1.9,2.7,0.7,0,1,1.4,13.2,12014,0,0,93
Paul Millsap,PF,35,DEN,26,26,23.9,3.8,7.3,0.524,1.2,3,0.41,2.6,4.3,0.604,0.608,1.6,2.3,0.695,1.6,3.6,5.2,1.7,0.8,0.5,1,2.1,10.4,8842,2,0,76.5
Shake Milton,SG,24,PHI,22,1,24.4,4.9,10.9,0.452,1,3.3,0.306,3.9,7.6,0.515,0.498,3.2,3.6,0.875,0.5,1.4,1.9,3,0.7,0.2,1.5,2.2,14,25114,1,0,57.8
Donovan Mitchell,SG,24,UTA,27,27,33.6,8.3,19.4,0.427,3.4,8.6,0.391,4.9,10.8,0.457,0.514,4.2,5.1,0.832,1,3.4,4.4,5.1,0.9,0.4,3,2.2,24.2,741272,58,30,2.5
Malik Monk,SG,22,CHO,15,0,21.1,3.6,8,0.45,2.2,4.4,0.5,1.4,3.6,0.389,0.588,1.1,1.3,0.85,0.3,2,2.3,1.8,0.3,0.1,1.1,1.3,10.5,1839,0,0,118.2
E'Twaun Moore,SG,31,PHO,14,1,16.2,2.3,5.2,0.438,0.4,1.4,0.263,1.9,3.9,0.5,0.473,0.4,0.6,0.75,0.4,1.1,1.4,1.6,0.8,0.1,0.9,1.6,5.4,415,0,0,129.5
Ja Morant,PG,21,MEM,16,16,30.3,6.8,14.9,0.458,0.8,3.3,0.25,6,11.6,0.516,0.485,4.3,5.4,0.802,0.8,2.3,3.1,8.3,0.9,0.3,3.2,1.4,18.8,556311,22,0,35.5
Marcus Morris,PF,31,LAC,21,2,25,4.5,10,0.45,2.5,5,0.5,2,5,0.4,0.576,1.7,1.9,0.897,0.8,3,3.8,0.9,0.6,0.3,1,1.8,13.2,8549,5,0,71.5
Markieff Morris,PF,31,LAL,23,2,15.3,1.6,4,0.387,0.9,2.7,0.323,0.7,1.3,0.516,0.495,0.6,0.8,0.722,0.6,2.9,3.5,0.9,0.2,0.3,0.5,1.5,4.6,4834,1,0,86
Monte Morris,PG,25,DEN,27,3,26,4.1,8.5,0.489,1.3,3.2,0.391,2.9,5.3,0.549,0.563,1.2,1.7,0.702,0.3,1.9,2.1,3.3,0.7,0.3,0.6,0.8,10.8,7045,1,0,62.2
Mychal Mulder,PG,26,GSW,28,1,10.8,1.4,3,0.476,1.1,2.6,0.444,0.3,0.4,0.667,0.667,0.3,0.4,0.636,0,0.9,0.9,0.4,0.2,0.2,0.2,1,4.3,1120,0,0,115.5
Dejounte Murray,PG,24,SAS,27,27,30.4,6.2,13.9,0.447,1,3.3,0.315,5.1,10.6,0.488,0.484,1.7,2.1,0.81,0.6,6.6,7.2,5,1.6,0.1,1.7,2.1,15.1,32174,11,0,46.8
Jamal Murray,PG,23,DEN,26,26,34.9,7.2,15.9,0.452,2.3,6.3,0.358,4.9,9.6,0.514,0.523,2.8,3.4,0.809,0.7,3.6,4.3,4.5,1.1,0.3,2.3,2.1,19.4,163870,19,0,41
Mike Muscala,C,29,OKC,26,0,19,3.4,7.6,0.444,2,5.3,0.38,1.4,2.3,0.59,0.576,1.1,1.2,0.906,0.5,3.2,3.7,0.9,0.3,0.3,0.7,1.5,9.9,6658,0,0,124
Sviatoslav Mykhailiuk,SF,23,DET,27,0,15.4,2.1,5.6,0.38,1.4,4.3,0.322,0.7,1.3,0.571,0.503,0.8,0.9,0.875,0.3,1.6,1.9,1.2,0.6,0.2,0.7,0.9,6.4,1522,0,0,120.2
Abdel Nader,SF,27,PHO,12,0,14.3,2.6,5.2,0.5,0.8,2.1,0.4,1.8,3.1,0.568,0.581,1.2,1.5,0.778,0,2.4,2.4,0.9,0.4,0.1,0.7,1.1,7.2,1235,2,0,98
Larry Nance Jr.,PF,28,CLE,19,18,33.4,3.7,7.6,0.483,1.3,3.3,0.381,2.4,4.3,0.561,0.566,0.6,1.1,0.571,1.4,5.4,6.8,3.2,1.9,0.5,1.5,2.2,9.3,32793,2,0,62.8
Aaron Nesmith,SF,21,BOS,13,0,14.7,1.2,3.6,0.34,0.9,2.9,0.316,0.3,0.7,0.444,0.468,0.4,0.5,0.714,0.5,1.8,2.3,0.5,0,0.3,0.7,1.8,3.8,459,0,0,140.8
Raul Neto,PG,28,WAS,21,6,18.9,3.1,6.7,0.468,1,2.7,0.368,2.1,4,0.536,0.543,0.8,1,0.8,0.5,1.8,2.2,1.7,1,0.1,0.6,1.3,8,13063,0,0,99.8
Georges Niang,PF,27,UTA,29,0,13.1,1.8,4.7,0.39,1,3.2,0.323,0.8,1.5,0.535,0.5,0.2,0.2,1,0.3,1.9,2.2,0.8,0.4,0.1,0.7,1.5,4.9,1484,3,0,92.8
Nerlens Noel,C,26,NYK,25,3,19,1.8,3.1,0.564,0,0.1,0,1.8,3,0.579,0.564,0.5,0.9,0.545,1.7,3.6,5.3,0.5,0.9,1.9,0.9,2.2,4,3668,0,0,123
Jaylen Nowell,SG,21,MIN,15,0,15.7,3.5,7.7,0.457,1.1,3.2,0.354,2.4,4.5,0.529,0.53,1.5,1.9,0.786,0.5,1.2,1.7,0.9,0.4,0.3,0.6,1.8,9.7,378,0,0,130.5
Kendrick Nunn,PG,25,MIA,20,8,28.4,5.4,11.3,0.473,1.9,5.5,0.349,3.5,5.9,0.59,0.558,1.1,1.2,0.875,0.5,2.8,3.2,2.3,1.1,0.2,2.1,1.8,13.7,4957,0,0,105.8
Jusuf Nurkić,C,26,POR,12,12,23.3,4.2,8.6,0.485,0.3,1,0.25,3.9,7.6,0.516,0.5,1.3,2.3,0.556,1.9,5.8,7.7,2.8,0.9,0.9,1.9,2.8,9.8,23868,2,0,64.5
David Nwaba,SF,28,HOU,24,9,23.3,3.4,7,0.482,0.6,2.2,0.264,2.8,4.8,0.583,0.524,1.4,2.1,0.68,1.2,2.5,3.7,1.1,1.1,0.8,0.6,2.1,8.8,1331,0,0,113.5
Royce O'Neale,SF,27,UTA,29,29,32.6,2.7,5.8,0.462,1.8,4.1,0.429,0.9,1.7,0.54,0.612,0.8,0.9,0.846,1.1,5.7,6.9,2.3,0.8,0.7,1.1,2.9,7.9,19724,1,0,72.5
Semi Ojeleye,PF,26,BOS,27,6,19.6,2,4.7,0.414,1.3,3.3,0.378,0.7,1.4,0.5,0.547,0.7,0.9,0.72,0.6,2.5,3.1,0.9,0.3,0,0.4,1.2,5.9,3879,0,0,121.5
Jahlil Okafor,C,25,DET,12,0,10,2.1,3.5,0.595,0,0.3,0,2.1,3.3,0.641,0.595,0.1,0.2,0.5,1.1,1.2,2.3,0.3,0.2,0.2,0.3,0.8,4.3,1359,1,0,98.8
Chuma Okeke,PF,22,ORL,13,0,21.7,1.7,4.5,0.379,0.7,2.2,0.31,1,2.2,0.448,0.457,0.2,0.5,0.5,1.2,2.2,3.4,2.1,0.8,0.3,0.7,1,4.3,694,1,0,106.2
Josh Okogie,SG,22,MIN,23,18,20.3,1.7,4.8,0.345,0.4,2,0.217,1.2,2.8,0.438,0.391,1.3,1.7,0.763,1,1.6,2.6,1.2,0.8,0.6,0.7,1.9,5,482,1,0,92.8
Isaac Okoro,SG,20,CLE,24,24,33,2.8,7.1,0.388,0.7,2.7,0.25,2.1,4.4,0.472,0.435,1.3,1.9,0.674,0.9,1.5,2.4,1.9,1.1,0.4,1.4,2.9,7.5,2369,0,0,114.8
KZ Okpala,PF,21,MIA,14,5,12,0.9,2.2,0.387,0.5,1.4,0.368,0.4,0.9,0.417,0.5,0.1,0.4,0.333,0.3,1.1,1.4,0.4,0.2,0.1,0.6,1.4,2.4,596,3,0,100.5
Victor Oladipo,SG,28,TOT,20,20,32,7,17.5,0.401,2.4,7.3,0.329,4.6,10.2,0.453,0.47,2.7,3.7,0.74,0.2,5,5.2,4.6,1.4,0.4,2.2,2.4,19.1,107548,7,0,44.5
Kelly Olynyk,C,29,MIA,27,22,26,3.6,8.5,0.424,2.1,6.1,0.343,1.5,2.3,0.635,0.548,0.6,0.8,0.714,1,4.8,5.8,2,0.8,0.7,1.3,2.6,9.9,5293,1,0,80.2
Cedi Osman,SF,25,CLE,29,13,26.4,4.1,10.9,0.381,2.1,6.1,0.341,2.1,4.8,0.432,0.476,1.1,1.4,0.786,0.7,2.7,3.3,2.6,0.9,0.1,1,2.1,11.5,31760,1,0,67.2
Kelly Oubre Jr.,SF,25,GSW,29,29,29.4,5.2,12.7,0.41,1.7,5.3,0.31,3.6,7.3,0.484,0.476,2.2,2.9,0.759,1.4,4.5,5.9,1.4,1.1,0.8,1.4,2.4,14.2,216470,3,0,53.2
Eric Paschall,PF,24,GSW,26,2,17.7,3.9,7.7,0.507,0.5,1.4,0.333,3.5,6.3,0.545,0.537,1.7,2.4,0.714,0.9,2.5,3.4,1.3,0.2,0.1,0.8,1.7,10,23149,1,0,70
Patrick Patterson,PF,31,LAC,10,1,13,1.6,3.8,0.421,1,2.8,0.357,0.6,1,0.6,0.553,0.3,0.4,0.75,0.4,1.6,2,0.5,0.3,0.1,0.7,1.3,4.5,679,1,0,111
