Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FANS,PLAYERS,MEDIA,SCORE
Wendell Carter Jr.,C,21,CHI,16,16,26.6,4.8,8.6,0.551,0.3,0.9,0.267,4.5,7.7,0.585,0.565,3.3,4.5,0.722,2.2,5.6,7.8,2.2,0.7,0.7,1.9,3,13,31617,2,0,63.8
Michael Carter-Williams,SG,29,ORL,10,5,24.6,2.9,8.2,0.354,0.2,1.7,0.118,2.7,6.5,0.415,0.366,1.7,2.3,0.739,1.8,2.9,4.7,3,0.5,0.4,1.6,2.7,7.7,1102,1,0,83.2
Alex Caruso,PG,26,LAL,22,0,18.7,2,4.4,0.464,1,2.3,0.44,1,2.1,0.489,0.577,0.5,0.5,0.833,0.5,1.9,2.4,2.3,1,0.2,1.1,1.6,5.5,371648,0,0,79.5
Willie Cauley-Stein,C,27,DAL,26,10,17.5,2.4,3.8,0.626,0,0.2,0.2,2.3,3.6,0.649,0.631,1.1,1.7,0.636,1.3,3.3,4.6,0.8,0.3,0.7,0.5,2.5,5.9,4020,0,0,128.5
Gary Clark,SF,26,ORL,26,11,21,1.2,3.9,0.294,0.9,3.3,0.264,0.3,0.6,0.467,0.407,0.2,0.3,0.857,1.1,2.5,3.6,0.9,0.3,0.2,0.6,1.1,3.4,759,2,0,101.2
Brandon Clarke,PF,24,MEM,20,13,27.2,5.6,11.1,0.5,0.6,1.8,0.306,5,9.3,0.538,0.525,1.3,2.1,0.634,1.6,4,5.6,1.8,1.2,0.8,0.7,1.7,13,16895,5,0,63.5
Jordan Clarkson,SG,28,UTA,29,0,26.2,6.7,14.8,0.453,3.2,8.5,0.382,3.4,6.3,0.549,0.563,1.6,1.7,0.958,0.9,3.2,4.1,2.1,1,0.2,1.9,1.4,18.2,194457,4,0,42.5
John Collins,PF,23,ATL,28,28,31.6,7.1,13,0.547,1.4,3.4,0.411,5.7,9.6,0.595,0.6,2.6,3,0.867,2.2,5.4,7.6,1.6,0.5,1,1.4,3.4,18.2,71410,6,0,51
Mike Conley,PG,33,UTA,23,23,29.3,5.7,12.7,0.45,2.8,6.8,0.41,2.9,5.9,0.496,0.56,2.3,2.8,0.815,1,2.7,3.7,5.8,1.4,0.1,2,1.8,16.5,135103,14,0,41.8
Pat Connaughton,SG,28,MIL,25,0,19,2.2,5.1,0.438,1.3,3.4,0.384,0.9,1.7,0.548,0.566,0.2,0.3,0.625,0.9,2.9,3.8,1.4,0.7,0.5,0.3,1.3,6,2889,1,0,74.2
DeMarcus Cousins,C,30,HOU,25,11,20.2,3.2,8.4,0.376,1.6,4.6,0.336,1.6,3.8,0.426,0.469,1.8,2.4,0.746,1.2,6.4,7.6,2.4,0.8,0.7,1.6,3,9.6,60472,3,0,59.8
Robert Covington,PF,30,POR,26,26,31.4,2.7,7.2,0.371,1.7,5.1,0.333,1,2.1,0.463,0.489,0.6,0.7,0.889,0.8,5.4,6.2,1.8,1.6,0.9,1,2.6,7.6,12792,1,0,78
Torrey Craig,SF,30,MIL,15,0,11.7,1.1,2.5,0.459,0.5,1.2,0.444,0.6,1.3,0.474,0.568,0.1,0.1,0.5,0.8,1.8,2.6,0.8,0.5,0.3,0.3,1.5,2.9,1741,2,0,95.8
Jae Crowder,PF,30,PHO,24,16,27.9,3.4,8.9,0.379,2.4,6.9,0.345,1,2,0.49,0.512,1.2,1.4,0.848,0.4,4.8,5.2,2.2,0.9,0.2,0.8,2,10.3,13262,7,0,66
Jarrett Culver,SG,21,MIN,16,7,21.2,3.2,6.9,0.459,0.5,1.9,0.258,2.7,5,0.538,0.495,1.3,2.1,0.606,1.6,3.4,5,0.9,0.7,0.4,1.3,2.4,8.1,848,0,0,120.5
Seth Curry,SG,30,PHI,22,22,29,4.6,9.3,0.5,2.1,4.4,0.479,2.5,4.9,0.519,0.613,1.8,1.8,0.975,0.2,1.7,1.9,2.7,0.8,0.3,1.4,1.7,13.1,133502,9,0,46.5
Stephen Curry,PG,32,GSW,29,29,34,10,20.3,0.492,5,11.8,0.425,5,8.6,0.582,0.614,5,5.3,0.935,0.4,4.9,5.3,6,1.2,0.1,3.2,1.9,30,5481033,172,96,1
Anthony Davis,PF,27,LAL,23,23,32.8,8.9,16.7,0.533,0.7,2.5,0.293,8.1,14.1,0.575,0.555,4,5.7,0.715,2,6.3,8.4,3,1.3,1.8,2,1.8,22.5,3075499,120,2,4
Ed Davis,C,31,MIN,19,7,13.9,0.9,2.3,0.419,0,0,0,0.9,2.3,0.419,0.419,0.4,0.4,0.875,2,3.1,5.1,1,0.5,0.5,0.3,2.6,2.3,1334,1,0,100.5
Terence Davis,SG,23,TOR,22,2,13.8,2.5,5.8,0.438,1.3,3.3,0.384,1.3,2.5,0.509,0.547,0.4,0.5,0.9,0.3,1.4,1.6,0.9,0.5,0.1,0.9,1.7,6.8,1129,2,0,80.8
